award_id	award_name
4649817	AACTA Award for Best Original Music Score
1414573	Filmfare Critics Award for Best Movie
2032630	Special Achievement Academy Award
25345783	Primetime Emmy Award for Outstanding Directing for a Documentary/Nonfiction Program
5280673	Directors Guild of America Award for Outstanding Directing – Documentaries
84829814	Kinema Junpo Awards for Best Actor
511553	BAFTA Award for Best Documentary
501273	Los Angeles Film Critics Association Award for Best Actress
503034	Los Angeles Film Critics Association Award for Best Actor
778870	BAFTA Award for Best Cinematography
1494211	National Film Award for Best Children's Film
4649801	AACTA Award for Best Costume Design
4649818	AACTA Award for Best Original Screenplay
775091	Caméra d'Or
4834546	BAFTA Outstanding British Contribution to Cinema Award
896668	Ernst Lubitsch award
87843257	UCIN Award for Best Original Score
6393425	Kerala State Film Award for Best Actor
2925687	BAFTA Award for Best Film Not in the English Language
4649808	AACTA Award for Best Editing
174389	César Award
1480781	Japan Academy Prize for Outstanding Performance by an Actor in a Leading Role
3870546	Nastro d'Argento for Best New Director
15942031	4th Japan Academy Prize
602866	Golden Raspberry Award for Worst Actress
1421666	Golden Raspberry Award for Worst Screenplay
1780634	Golden Raspberry Award for Worst Picture
5533175	Genie Award for Best Performance by a Foreign Actor
5533178	Genie Award for Best Performance by a Foreign Actress
2549777	Golden Screen Award
13636514	Hong Kong Film Award for Best Actress
641316	Golden Raspberry Award for Worst Supporting Actor
1467106	Japan Academy Prize for Outstanding Performance by an Actress in a Leading Role
1238714	Golden Raspberry Award for Worst Director
977915	Golden Raspberry Award for Worst Supporting Actress
602299	Golden Raspberry Award for Worst Actor
28751895	Hōchi Film Award for Best Picture
24259221	Yokohama Film Festival Best Actress
85196003	Seiun Award for Best Comic
115462255	Humanismin käsi
487136	Academy Award for Best Makeup and Hairstyling
385186	Golden Raspberry Award for Worst New Star
1413741	Saturn Award for Best Actress
1868927	London Film Critics Circle Award for Director of the Year
655056	César Award for Best First Feature Film
4649821	AACTA Award for Best Production Design
918617	BAFTA Award for Best Makeup and Hair
1683209	Japan Academy Prize for Screenplay of the Year
1387050	Japan Academy Prize for Director of the Year
1535128	Golden Raspberry Award for Worst Musical Score
4649826	AACTA Award for Best Sound
31579	David di Donatello
1420891	Golden Raspberry Award for Worst Original Song
239675	César Award for Best short documentary
16965854	Silver Condor Award for Best Supporting Actor
1870452	Los Angeles Film Critics Association Award for Best Cinematography
85317660	Medalla del Círculo de Escritores Cinematográficos al mejor actor secundario
8555	Saturn Award for Best Special Effects
652644	Boston Society of Film Critics Award for Best Director
505449	Los Angeles Film Critics Association Award for Best Director
1757366	Saturn Award for Best Music
981030	Saturn Award for Best Writing
1868950	London Film Critics Circle Award for Actor of the Year
545970	César Award for Best Original Screenplay
19819293	Genie Award for Best Supporting Actor
1388076	London Film Critics Circle Award for Film of the Year
378567	Japan Academy Prize for Picture of the Year
11789187	Gdynia Film Festival Award for Best Editing
17500598	Golden Horse Award for Best Supporting Actor
832120	César Award for Best Adaptation
1554225	Guldbagge Award for Best Actress in a Leading Role
16056339	Hong Kong Film Award for Best Action Choreography
5579759	Golden Rooster Award for Best Supporting Actress
900360	César Award for Best French-Speaking Film
389628	Filmfare Award for Best Performance in a Comic Role
24051559	Sitges Film Festival best special effects award
49025	Volpi Cup
1463881	Robert Award for Best Actor in a Leading Role
1538926	Robert Award for Best Actress in a Leading Role
3703472	David di Donatello for Best Script
1535532	Golden Calf for Best Actress
29597	César Award for Most Promising Actress
2295041	Independent Spirit Award for Best Director
3774974	Sundance Film Festival U.S. Dramatic Grand Jury Prize Award
6978539	National Society of Film Critics Award for Best Cinematography
971008	Saturn Award for Best Costume
30135073	David di Donatello for Best Original Script
1671071	Robert Award for Best Score
23055162	Robert Award for Best Editing
2156273	Robert Award for Best Cinematography
24904744	Robert Award for Best Sound Design
1505691	Robert Award for Best Danish Film
2475536	Robert Award for Best Costume Design
5942208	Hundred Flowers Award for Best Actor
1461985	National Film Award for Best Supporting Actor
120661265	Sitges Film Festival Best cinematography
1707516	National Society of Film Critics Award for Best Non-Fiction Film
17081895	New York Latin ACE Awards
110426704	Artios Award
912538	Robert Award for Best Actress in a Supporting Role
18910417	Amanda Award for Best Actress
28470	Laurence Olivier Award
2295011	Independent Spirit Award for Best Foreign Film
1346707	Robert Award for Best Screenplay
18910416	Amanda Award for Best Actor
13635451	Grammy Award for Best Instrumental Composition
17748520	Amanda Award for Best Foreign Feature Film
5942219	Hundred Flowers Award for Best Actress
727282	Honorary César
6114830	Jack Richardson Producer of the Year Award
13000408	Nandi Award for Best Director
787127	BAFTA Award for Best Special Visual Effects
429700	Goya Award for Best Supporting Actress
311836	Independent Spirit Awards
2972198	Ciak d'oro
21235042	David René Clair
1379415	Goya Award for Best Actress
10873945	Golden Rooster Award for Best Actor
739694	BAFTA Award for Best Adapted Screenplay
1058012	Hochi Film Award
3405076	Prix Médicis étranger
731542	Strega Prize
1204813	German Film Award for Best Actor
3703470	David di Donatello for Best Original Song
1170507	Independent Spirit Award for Best Screenplay
8038458	Writers Guild of America Award for Best Adapted Screenplay
17500990	Golden Horse Award for Best Adapted Screenplay
1377777	European Film Award for Best Screenwriter
1520004	Goya Award for Best Actor
2463699	Goya Award for Best Adapted Screenplay
1367639	Goya Award for Best Supporting Actor
2544851	Independent Spirit Award for Best Female Lead
1326340	Grammy Award for Best Comedy Album
1377755	European Film Award for Best Director
3734887	European Film Award for Best Supporting Actor
5894560	Hong Kong Film Award for Best Director
1535134	Golden Raspberry Award for Worst Visual Effects
77533361	European Film Academy Special Jury Award
3703451	David di Donatello for Best Supporting Actor
182836	Teddy Award
16324366	Robert Award for Best Production Design
932281	European Film Award for Best Actor
60787217	European Film Award for Best Young Actor or Actress
912545	Robert Award for Best Actor in a Supporting Role
16687986	Nika Award for Best Screenplay
431668	Nika Award
2000095	Goya Award for Best Costume Design
48705	César Award for Most Promising Actor
4376980	Canadian Screen Award for Best Screenplay
3021821	Kansas City Film Critics Circle Award for Best Supporting Actor
77528995	European Film Academy Special Aspect Award for Best Art Direction
20649162	Nikkan Sports Film Award for Best Director
3019369	Daytime Emmy Award for Outstanding Children's Animated Program
900385	César Award for Best Costume Design
1377738	European Film Award for Best Actress
20649914	European Film Award for Best Supporting Performance
1377736	European Film Award for Best Composer
777921	European Film Award for Best Film
494588	Young Artist Awards
3703458	David di Donatello for Best Sound
3734888	Young European Film of the Year
2634446	Goya Award for Best Original Screenplay
113153203	Guldbaggen för kreativa insatser
9062315	Premi Nacional de Cinema
20078700	European Film Award for Best Supporting Actress
1414470	Filmfare Award for Best Choreography
1170493	Independent Spirit Award for Best Cinematography
894591	Boston Society of Film Critics Award for Best Actor
1967210	National Film Award for Best Popular Film Providing Wholesome Entertainment
889845	Bodil Award for Best Danish Film
23055163	Robert Award for Best Makeup
30135071	David di Donatello for Adapted Screenplay
3703466	David di Donatello for Best Sets and Decorations
5449100	Filmfare Award for Best Music Director – Tamil
19310346	Anjalankoski Film Award
1377733	European Film Award for Best Cinematographer
894598	Boston Society of Film Critics Award for Best Supporting Actress
428808	Grammy Award for Best Song Written for Visual Media
66370965	Wolfgang Staudte Award
783736	Austrian Ticket
20649173	Nikkan Sports Film Award for Best Newcomer
2463743	Goya Award for Best Cinematography
3394360	Goya Award for Best Producer
1111310	Directors Guild of America Award
1390226	Goya Award for Best New Director
2735625	Goya Award for Best Spanish Language Foreign Film
1377771	European Film Award for Best Production Designer
3010521	César des Césars
5211225	Dallas-Fort Worth Film Critics Association Award for Best Director
979210	Goya Award for Best Special Effects
1881623	FAMAS Award for Best Director
1414555	Filmfare Award for Best Male Debut
4146631	State Prize of the Russian Federation
77735071	European Film Award for European Discovery of the Year
77708227	European Film Award Special Mention
4377013	Nika Award for Best Director
609977	European Film Award for Best Editor
1540553	Goya Award for Best Director
905247	MTV Movie Award for Best Comedic Performance
2294693	Independent Spirit Award for Best Supporting Male
18760491	Fotogramas de Plata for best leading actor (film)
24904743	Robert Award for Best Visual Effects
3703464	David di Donatello for Best New Director
3886190	Silver Bear for an outstanding single achievement
6359049	Silver Condor Award for Best Actress
257235	MTV Movie Award for Best Kiss
2544859	Independent Spirit Award for Best Male Lead
11615995	Art Encouragement Prizes
1161103	MTV Movie Award for Most Desirable Male
18693574	Jussi Award for Best Costume Design
185299	Tony Award for Best Actress in a Play
5211221	Dallas-Fort Worth Film Critics Association Award for Best Actor
1071903	Chicago Film Critics Association Award for Best Actor
894592	Boston Society of Film Critics Award for Best Supporting Actor
2947548	Kansas City Film Critics Circle Award for Best Actor
4220901	MTV Movie Award for Best Male Performance
28782559	Ophir Award for Best Cinematography
326220	Montreal World Film Festival
5894567	Hong Kong Film Award for Best Supporting Actor
1027904	Grammy Award for Song of the Year
1377683	European Film Academy Critics Award
2026838	Ophir Award (best director)
77849171	European Film Award for Best Achievement
4824149	Australian Film Institute Award for Best Foreign Film
175235	Chicago Film Critics Association Award for Best Supporting Actor
7569444	Southeastern Film Critics Association Award for Best Actor
1062026	MTV Movie Award for Best Villain
2418096	Goya Award for Best European Film
27500599	Czech Lion for Best Editing
1170500	Independent Spirit Award for Best First Feature
28782509	Ophir Award for Best Original Music
1062019	MTV Movie Award for Best Breakthrough Performance
1794567	Preis der deutschen Filmkritik
16020748	FIPRESCI Prize at Berlinale
4220900	MTV Movie Award for Best On-Screen Duo
5894548	Hong Kong Film Award for Best Cinematography
17500985	Golden Horse Award for Best Supporting Actress
812332	Bavarian TV Awards
27535396	Ophir Award for Best Supporting Actress
18693595	Risto Jarva Award
1868921	London Film Critics Circle Award for Actress of the Year
1414566	Filmfare Critics Award for Best Actress
1377752	European Film Award for Best Documentary
6393457	Kerala State Film Award for Best Screenplay
2607192	Czech Lion for Best Supporting Actor
389636	Filmfare Award for Best Performance in a Negative Role
2294705	Independent Spirit Award for Best Supporting Female
1320315	Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role
158428	Stockholm International Film Festival
39543186	Silver George for Best Director
832127	César Award for Best Documentary Film
2000087	Goya Award for Best Editing
2620100	Academy of Canadian Cinema and Television Award for Best Motion Picture
654620	Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role
22342909	Premios CEC
1408677	Annecy International Animation Film Festival
6736646	Mainichi Film Award for Best Animation Film
601549	Saturn Award for Best Performance by a Younger Actor
2708642	Goya Award for Best New Actor
4631343	Filmfare Critics Award for Best Actor
3703454	David di Donatello for Best Cinematography
377293	Tony Award for Best Direction of a Musical
1348378	Tony Award for Best Costume Design
28867014	Golden Reel Award for Best Sound Editing: Music in a Feature Film
1129487	Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Leading Role
114347999	Butaca Award for best Catalan film actress
3870558	Nastro d'Argento Special
4220897	MTV Movie Award for Best Dance Sequence
27230322	Ophir Award for Best Actress
4745055	American Society of Cinematographers Award for Outstanding Achievement in Cinematography in Theatrical Releases
748018	MTV Movie Award for Best Action Sequence
3841639	MTV Movie Award for Most Desirable Female
4220898	MTV Movie Award for Best Female Performance
116600590	Prize of the Ecumenical Jury Cannes
5894551	Hong Kong Film Award for Best Actor
4722629	Hong Kong Film Award for Best Film
7096158	Open Palm Award
518675	Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture
1260789	Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role
922348	Broadcast Film Critics Association Award for Best Supporting Actor
1713744	Jupiter Awards
5569374	Producers Guild of America Award for Best Theatrical Motion Picture
3703460	David di Donatello for Best Score
6978540	National Society of Film Critics Award for Best Foreign Language Film
1377772	European Film Award for Best Non-European Film
24112	César Award for Best Producer
19819292	Genie Award for Best Actress in a Supporting Role
3822438	Butaca Awards
922322	Critics' Choice Movie Award for Best Actor
2327984	Goya Award for Best Original Music
1043431	Tokyo International Film Festival
22235305	Academy Award for Best Original Musical or Comedy Score
448468	Bavarian Film Awards
9062425	Turia Awards
2634221	Goya Award for Best New Actress
17001476	London Film Critics Circle Award for British Actor of the Year
922273	Broadcast Film Critics Association Award for Best Supporting Actress
1398170	National Film Award – Special Jury Award / Special Mention
506565	Los Angeles Film Critics Association Award for Best Supporting Actor
2092962	Satellite Award for Best Director
10311458	Nihon SF Taisho Award
367996	Screen Award for Best Supporting Actor
2694852	Filmfare Award for Best Screenplay
734036	MTV Movie Award for Best Fight
3473903	Satellite Award for Best Editing
1749539	Satellite Award for Best Visual Effects
1967129	National Film Award for Best Art Direction
453745	Amanda Awards
55639519	Czech Lion Award for Best Screenplay
20106093	Best foreign work published in Spain
1557165	Czech Lion for Best Cinematography
2348108	Satellite Award for Best Supporting Actress – Motion Picture
1377753	European Film Academy Achievement in World Cinema Award
765404	Satellite Award for Best Original Screenplay
828289	Broadcast Film Critics Association Award for Best Foreign Language Film
2906822	Blockbuster Entertainment Awards
3404611	François Chalais Prize
1535145	Golden Raspberry Award for Worst Screen Couple/Ensemble
17053510	ARIA Award for Best Original Soundtrack, Cast or Show Album
20252544	Jussi Award for Best Debut
2607183	Czech Lion Award for Best Actor in Leading Role
1638207	Satellite Award for Best Cinematography
1204819	German Film Award for Best No-German Film
5461346	Florida Film Critics Circle Award for Best Cast
3910472	Bram Stoker Award for Best Screenplay
3404984	Lumières Award for Best Screenplay
628637	European Film Award – People's Choice Award for Best European Film
511230	Lumières Award for Best Actress
17500980	Golden Horse Award for Best Original Film Score
1659569	NAACP Image Award for Outstanding Supporting Actress in a Motion Picture
697007	National Board of Review Award for Best Cast
2024475	Online Film Critics Society Award for Best Cast
4796784	Art Directors Guild Award for Excellence in Production Design for a Feature Film
5412594	Jameson People's Choice Award for Best Actress
3667644	Chicago Film Critics Association Award for Best Original Score
2357620	Satellite Award for Best Original Score
3827280	Las Vegas Film Critics Society Award for Best Song
3965593	Southeastern Film Critics Association Award for Best Supporting Actor
649232	Satellite Award for Best Art Direction and Production Design
1377763	European Film Award for European Discovery of the Year
1627408	Satellite Award for Best Actor – Motion Picture
1377773	European Film Award - People's Choice Award for Best Director
1075366	Chlotrudis Award for Best Adapted Screenplay
5412592	Jameson People's Choice Award for Best Actor
566905	Annie Award
5261137	Satellite Award for Best Actress – Motion Picture Musical or Comedy
